category	product
1	Cheesy Jalapeno Cigar
1	Paneer Tikka
1	Veg Manchow Soup
1	Non Veg Manchow Soup
1	Soup
1	Shaam Savera 
1	Veg Rara Masala
1	Roti Butter
1	Roti Plain
1	Butter Roti
1	Plain Roti
1	Naan Garlic
1	Garlic Naan
1	Cheese Garlic Naan
1	Naan Cheese Garlic
1	Dal Tadka
1	Dal
1	Dal Makhani
1	Jeera Rice
1	Plain Rice
1	Aerated Drink
1	Soda
1	Pepsi
1	Sprite
1	Coca Cola
1	Maaza
3	Diesel
3	Petrol
3	Fuel
1	Chicken Thali
1	Chicken Masala Thali
1	Chicken Kids Thali
1	Mineral Water
1	Bisleri
3	Petrol 
1	Solkadi
1	Chicken Tandoori
1	Mutton Special Thali
1	Chicken Sadhi Thali
1	Chicken Special Thali
1	Mineral Water
1	Paneer Crunchy
1	Veg Manchow Soup
1	Solkadi
1	Cold Drnk
1	Cheese S. W.
1	Diesel
1	Diesel 
1	Nachos With Che
1	Nachos
1	Nachos With Cheese
1	Crispy Chilli
1	Onion Rings
1	Pasta barbaresc
1	Cheese Onion Uttapam
1	Steam Idli
1	Kadak Roomali Roti
1	Basil Paneer Chilli
1	Mineral Water
1	CHS ONI UTTAPA
1	MY CHS MSL
1	VEG CUTLET
1	BADAM PISTA
1	Swirl
1	Veggie
1	Pizza Puff
1	CHATPATA GOBI
1	Hara Bhara kebab
1	Paneer Lahori
1	kaju masala
1	roti
1	butter roti
1	jeera rice
1	vanilla ice cream
1	ice cream
1	mango ice cream
1	pista ice cream
1	butter scotch ice cream
3	Petrol
1	bombay pav bhaji
1	jodi pav
1	tawa pulav
1	fresh strawberry pyali
3	diesel
3	diesel
1	chutney sandwich
1	veg cheese sandwich
1	cheese sandwich
1	6pc Nuggets
1	Med Fries
1	S Mutton Thali
1	Bbq misal
1	tak
1	Solkadi
1	lassi
1	Cheese Onion Uttapam
1	Dahi Vada
1	masala papad
1	chi manglorian cur
1	neer dosa
3	parking charges
3	4 wheeler
1	badam anjeer
1	tender coconut
1	prwns fry
1	chk biryani fl
1	cold drink
1	bombay pav bhaji
1	single pav
1	jodi pav
1	popcorn salted big tub
1	popcorn cheese big tub
1	kurdai papad
1	chicken thali
1	chicken mini thali
1	solkadi
1	coolberg
1	mosumbi
1	cool cool
1	chicken chilly
1	chicken hakka noodl
1	chicken lolypop
1	chicken triple sch
1	mutton seekh kebab
1	veg hakka noodl
1	piri piri spice mix
1	spicy chicken
1	McSaver spicy chicken meal
1	single idli
1	single wada
1	anna mysoor
1	cheese plain
1	dosa
1	butter milk plain
1	chocolate veg t. cakes
1	cafe mocha
1	mutton biryani full
1	masala papad
1	Cold Drinks
1	Steam Idli
1	cheese chilly onion uttapam
1	single idli
1	fully loaded nachos wi
1	pasta del barone
1	sun dried tomatoes
3	parking
3	single journey ticket
3	single journey ticket
3	toll receipt
3	toll receipt
1	classic strawberr
1	dark frappe
1	banana bites-mrp4
1	funza beetroot na
1	storm energy drin
1	chilli cheese toa
1	classic strawberr
1	cappucinno
1	popcorn cheese tub
2	movie
3	toll 
2	tickets
2	imagica
3	toll
2	tickets 
2	imagica
2	tickets
3	toll
2	bowling
2	Vh1 Supersonic 1
2	imagica
2	theme park
2	adventure
2	tickets
2	bowling
3	toll
2	theme park
2	adventure
2	movie
2	tickets
2	water park
2	tickets
2	imagica
3	toll
3	gasoline
3	petrol
2	theme park
2	adventure
3	parking
2	bowling
2	movie
2	club
3	toll
2	tickets
2	imagica
2	theme park
2	adventure
2	water park
2	tickets
2	cinema
2	cinema
2	movie
2	cinema
2	bowling
2	toll
2	adventure
2	theme park
2	imagica
2	conert
2	game zone
3	parking
2	movie
3	petrol
3	ticket
3	parking
2	game zone
2	club
3	diesel
3	toll
4	tshirt
4	shoes
2	theatre
4	dress
4	tie
2	resort
4	bracelet
2	concert
1	chicken pizza
1	samosa chaat
2	play
4	earings
4	shirt
4	glasses
2	snow park
1	chocolate veg t. cakes
1	cake
2	paintball
2	bowling
1	momos
2	resort
3	toll
1	sandwich
3	parking
2	movie
4	shirt
1	chips
2	game zone
4	perfume
4	scarf
1	shawarma
2	club
2	play
3	petrol
2	snow park
4	charger
3	diesel
3	ticket
1	sprite
2	paragliding
2	cinema
1	fried rice
1	soup
1	noodles
2	sea diving
2	game zone
2	shooting
4	phone cover 
4	key chain
3	petrol
3	toll
1	paratha
1	waffle
4	belt
2	theme park
3	diesel
3	gasoline
3	ticket
1	burger
3	petrol
3	bus ticket
3	toll
2	movie
2	game zone
3	train ticket
3	diesel
3	parking
2	water park
2	play
2	concert
2	pub
3	toll
3	ticket
3	petrol
2	bowling
2	cinema
3	diesel
3	gasoline
3	parking
2	concert
2	snow park
3	petrol
2	wet n joy
3	parking
2	essel world
3	toll
3	diesel
3	ticket
2	magic mountain
3	parking
3	petrol
3	bus ticket
2	game zone
2	resort
2	vh1
2	VH1
2	vH1
2	supersonic
2	Vh1
2	vh1 supersonic
1	HOT CHOCOLATE
1	BLACK COFFEE